recipeName,ingredients,nutritionInfo,mealType,timestamp
Easy Weeknight Bacon Mac 'N Cheese,"[""2 cups uncooked penne pasta"", ""1 (9 ounce) pouch ProgressoTM Recipe StartersTM creamy three cheese cooking sauce"", ""8 slices American cheese, diced"", ""1 (3 ounce) package cooked real bacon pieces or bits"", ""Garnish, if desired:"", ""Progresso(R) Italian style panko crispy bread crumbs""]","🍽️ Servings: 4 yummy bowls of cheesy goodness!

Per serving 🍲: 

🔥 Calories: 540, warm & sizzling!
🥑 Fat: 25g, it's all about balance here!
🍞 Carbs: 61g, energy-packed!
🍗 Protein: 26g, building blocks unite!

💡 Health Tip: Switch to whole-grain pasta for added fiber & health benefits! 🌾🤸‍♂️",Dinner,2025-04-13 21:43:20
Snow Pudding,"[""6 cups clean fresh snow"", ""1 cup milk"", ""1/2 cup superfine sugar"", ""1/2 teaspoon vanilla extract""]","Whip up some frosty fun with Snow Pudding! Based on 4 servings, each one gives you 🍽️:

- Calories: 130 🔥
- Fat: 2.5g 🥑
- Carbs: 25g 🍞
- Protein: 3g 🍗

💡 Health Tip: Switch to low-fat milk for a lighter dessert! Snow kidding!",Breakfast,2025-04-13 21:43:43
"Shrimp, Leek And Spinach Risotto","[""2 tablespoons olive oil, divided"", ""2 cups Arborio rice"", ""4 cups boiling vegetable broth"", ""2 teaspoons minced garlic"", ""1 medium leek, chopped"", ""1 fresh red chile pepper, chopped"", ""1 pound medium shrimp, peeled and deveined"", ""1/2 pound small scallops"", ""1 (14 ounce) bag fresh spinach leaves"", ""1/2 red bell pepper, finely chopped"", ""1 teaspoon fresh ground pepper""]","Ooh la la! Your Shrimp, Leek and Spinach Risotto recipe sounds like a delicious ride to flavor town! For a serving size of 4, here is the nutritional down-low for ya:

- Calories: Crank up the heat with 530 🔥 per serving
- Fat: Smooth as an avocado with 15.5g 🥑  
- Carbs: A beautiful balance of 70g carbs 🍞  
- Protein: Power up with 30g 🍗
- Servings: Enough for you and 3 amigos 🍽️

And for a mega fun health tip 💡: Did you know red bell peppers are loaded with good Metroville aka Vitamin C which gives your immune system an extra boost? 

Enjoy your tasty journey to nutritionville! 🚀",Dinner,2025-04-13 21:44:49
Smoked Salmon Pasta Salad,"[""11 ounces multi-colored fusilli pasta"", ""1 small carrot, grated"", ""1 small onion, chopped"", ""1/2 cup diced cucumber"", ""1/2 cup diced celery"", ""8 ounces smoked salmon, cut into 3/4 inch pieces"", ""1/3 cup mayonnaise"", ""2 teaspoons lemon juice"", ""1 pinch salt"", ""1 pinch ground black pepper"", ""1 pinch cayenne pepper (optional)""]","🔥 This colorful Smoked Salmon Pasta Salad packs up approximately 500 calories per serving!

🥑 You'll be getting around 9g of fats, a blend of healthy fats from the salmon and a tad from the mayo.

🍞 Carb alert! Around 70g are gonna fuel you up, thanks to our fun fusilli pasta.

🍗 You're not left hanging in the protein department, with about 22g delivered courtesy of our star ingredient - smoked salmon! 

🍽️ This recipe should serve up a mouthwatering treat for about 5 foodies.

💡 Health tip: Feeling bold? Go whole wheat on the pasta for added fiber and nutrient boost! 🌾 Stay rad, stay fed! 🌈",Lunch,2025-04-13 21:45:23
Little Traveler'S Salad,"[""1 head romaine lettuce, chopped"", ""1 (10 ounce) package baby spinach leaves"", ""1 small red onion, thinly sliced"", ""2 cups cooked macaroni"", ""12 ounces cooked chicken breast, cut into bite-sized pieces"", ""1 (12 ounce) jar roasted red peppers, thinly sliced"", ""8 slices cooked bacon, crumbled"", ""1/4 cup poppy seed dressing, or to taste"", ""1/4 cup French-fried onions, or to taste""]","Whip up that ""Little Traveler's Salad"" and here's what you got per serving:

🔥 Calories: Around 375
🥑 Fat: Around 15g
🍞 Carbs: Roughly 30g
🍗 Protein: That'll be a big 25g
🍽️ Servings: Makes about 6 hearty salads

Mindful munching tip 💡: Substitute the bacon with turkey bacon to reduce saturated fats and keep your heart thank you notes from ankle to ceiling! 💌",Lunch,2025-04-13 21:45:53
Wheat Berry Salad With Olives And Garlic,"[""3 cups water"", ""1 cup wheat berries"", ""1 teaspoon olive oil, or as needed"", ""5 cloves garlic, minced"", ""1 cup pitted and finely chopped kalamata olives"", ""1 teaspoon salt""]","Get ready to whip up a nutrient-rich Wheat Berry Salad! 🥗 This recipe makes 4 servings.

Here's the exciting nutrient breakdown per serving:
- Calories: 228 🔥
- Fat: 9g 🥑
- Carbs: 32g 🍞
- Protein: 6g 🍗

Health tip: Keep your heart happy and cholesterol in check with the healthy fats from olives and olive oil! 💡 Enjoy your meal!",Lunch,2025-04-13 22:06:57
Chorizo Bites,"[""toothpicks"", ""4 cooked chorizo links, cut into 1/2-inch slices"", ""5 cloves garlic, slivered, or to taste"", ""35 dates, sliced open and pitted""]","🎉 Whoop! Here come your tasty Chorizo Bites! 🍽️ Makes about 35 servings!

On average, per serving: 🔥 35 Calories, 🥑 0.8g Fat, 🍞 5g Carbs, 🍗 1g Protein.

💡 Health Tip: Add some slices of green veggies for a fiber boost! Eat, enjoy, but remember - moderation is key! 💚",Dinner,2025-04-13 22:07:27
Eggplant And Tomato Packets,"[""1 eggplant, peeled and halved lengthwise"", ""1 tomato, halved"", ""1 pinch garlic salt"", ""ground black pepper to taste"", ""2 teaspoons olive oil"", ""2 sheets heavy duty aluminum foil""]","Alright, here's the scoop on your 'Eggplant And Tomato Packets'💌:

- Calories: Approx. 188 🔥
- Fat: Around 7g 🥑
- Carbs: A hearty 31g 🍞
- Protein: An impressive 5g 🍗
- Servings: 2 🍽️ 

And your bonus one-line health tip 💡: ""Eat your colors"" - the combination of eggplant and tomatoes is great for boosting antioxidants!

So, dive in and enjoy this tasty and nutritious feast! 🎉",Dinner,2025-04-13 22:08:07
Easy Skillet Spaghetti,"[""1 pound ground beef"", ""3 cups water"", ""18 fluid ounces tomato juice"", ""1 (6 ounce) can tomato paste"", ""2 tablespoons dried minced onion"", ""1 1/2 teaspoons chili powder, or more to taste"", ""1 teaspoon white sugar"", ""1 teaspoon dried oregano, crushed"", ""1 teaspoon garlic salt"", ""1 teaspoon salt"", ""7 ounces spaghetti""]","Wow, your Easy Skillet Spaghetti is ready to sizzle! 🍝 

Per serving, you're looking at:
- Approx. 445 Calories 🔥 
- About 18g Fat 🥑 
- Roughly 45g Carbs 🍞 
- Nearly 25g Protein 🍗 

This recipe serves about 6 lucky folks! 🍽️

Health Tip: To cut back on sodium, swap out garlic salt for fresh garlic for aromatic and heart-friendly twist! 💡 Stay saucy, spaghetti superstar! 💪😄",Dinner,2025-04-13 22:08:47
Creamy Curried Scrambled Eggs,"[""2 teaspoons ghee (clarified butter)"", ""2 shallots, thinly sliced"", ""1 teaspoon curry powder"", ""1 tablespoon water (optional)"", ""4 ounces cream cheese"", ""4 eggs"", ""1 teaspoon Dijon mustard"", ""salt and pepper to taste""]","Sure thing, foodie fellow! 

For the Creamy Curried Scrambled Eggs, you're looking at:

- Calories: A moderate 320🔥 per serving.
- Fat: A whopping 26g 🥑! Who doesn't love a bit of naughtiness? 
- Carbs: Only 6g 🍞 (keto lovers rejoice!)
- Protein: A neat 12g 🍗 to keep those muscles happy.
- Servings: This recipe serves 2🍽️.

💡Health Tip: Despite the fat content, ghee is a source of healthy, digestible fat. So, enjoy without guilt!

Remember, scrambled eggs aren't just for breakfast anymore! 🍳",Breakfast,2025-04-13 22:09:14
Strawberry Kiwi Tartlets,"[""1 egg"", ""2 teaspoons water"", ""12 frozen puff pastry shells, thawed"", ""1/3 cup strawberry preserves"", ""2 pints fresh strawberries, sliced"", ""4 kiwis, peeled and seeded"", ""2 tablespoons honey"", ""1/2 cup heavy cream"", ""2 teaspoons confectioners' sugar""]","Whip up some tasty 'Strawberry Kiwi Tartlets' and enjoy a fruity fiesta in every bite! 🎉 Here's the nutrition fun-fact breakdown per serving:

💥Calories: 300 🔥
🥑Fat: 17g  
🍞Carbs: 30g 
🍗Protein: 4g 
🍽️This recipe serves 12!

💡 Health Tip: Trade-in heavy cream for Greek yogurt to cut some fat and amp up your protein! Happy, healthy baking! 🍰🥳",Dinner,2025-04-13 22:09:38
Grilled Mushroom And Swiss,"1 tablespoon extra-virgin olive oil,
1/4 cup baby spinach (optional), 
1/4 cup sliced fresh mushrooms, 
salt and ground black pepper to taste, 
2 slices bread,
1 tablespoon softened butter,
2 slices Swiss cheese","🥪 Grilled Mushroom and Swiss, is a yummilicious meal that's bright on the eyes and light on the belly! 🌟 

Calories per serving, you ask? Just around 415, which is like a 45-min dance party! 💃 

Let's break it down:
- 🧈 Fat: 27g (like a tiny chunk of butter)
- 🍞 Carbs: 28g (equivalent to two small apples 🍎🍎)
- 🧀 Protein: 18g (almost 3 large eggs' worth)

The recipe serves one, a perfect treat just for you! 🤤

Health Tip of the Day: Use whole grain bread for extra fiber, and keep your heart 💖 and digestion 🔄 dancing to a healthy beat! 🎶",Lunch,2025-04-28 11:51:38
Ice Cream Cone Cupcakes,"1 cup white sugar, 1/2 cup hard margarine, 2 large eggs, 1 teaspoon vanilla extract, 1 3/4 cups all-purpose flour, 2 1/2 teaspoons baking powder, 1/4 teaspoon salt, 2/3 cup milk, 24 flat-bottomed ice cream cones","Ding-ding! 🛎️ Your Ice Cream Cone Cupcakes are ready to serve, with 24 mouthwatering servings in total! 🍦 Each serving packs approximately 150 calories, 6g of fat, 24g of carbs, and 3g of protein. 🏋️‍♀️ 

Just remember, cupcakes are like cash, it's all good until you realize you've had too much! So enjoy sparingly for a balanced diet! 🥗🍎 Stay rad, stay fed! 💪🌈","None of the provided meal types apply to this recipe. However, it would best fall under the category of Dessert.",2025-04-28 11:54:25
Perfect Strawberry And Oatmeal Bread,"[""1 1/2 cups all-purpose flour"", ""1 1/2 cups whole wheat flour"", ""1 1/2 cups rolled oats"", ""1 cup white sugar"", ""1 cup brown sugar"", ""1/4 cup flax seeds (optional)"", ""1 tablespoon ground cinnamon"", ""2 teaspoons baking powder"", ""1 teaspoon salt"", ""1 cup vegetable oil"", ""4 eggs"", ""1/2 cup plain yogurt"", ""1 1/4 pounds sliced fresh strawberries""]","🍓Ta-Da! One slice of your Perfect Strawberry and Oatmeal Bread (out of 15 servings) brings you 494 yummy calories! 😋

Looking into the goodies 🎁 it provides you:
- Fat: An exciting 22.6g 🥳 
- Carbs: A full 69.7g for energy 🚀 
- Protein: 7.5g for muscle power 💪

Remember to enjoy it in moderation though, the sugars are on the higher side! After all, balance is the key in life, and definitely in nutrition! 🤸‍♀️💕🔑",Breakfast,2025-04-28 15:14:39
Jicama Mango Salad With Cilantro And Lime,"1 large jicama, peeled and cut into matchsticks, 
1 small red bell pepper, cut into matchsticks,
1 large firm mango, peeled and cut into matchsticks,
 1/2 red onion, cut into matchsticks, 
Dressing: 1/2 cup chopped cilantro leaves, 2 limes, juiced, 1/4 cup honey, 1 teaspoon salt, 1/8 teaspoon cayenne pepper, or more to taste","🥗This Jicama Mango Salad makes 6 generous servings! Each sassy salad serving supplies a slim 160 calories, 0.5g of fat 😮, 40g of carbs 🏃‍♀️and comes packed with 2g of protein 💪! Next time you crave something sweet, spicy, and satisfying, pair your meal with this salad and let the powerful punch of Vitamin C take the lead! 🍋🍊🥭💥",Lunch,2025-04-28 15:15:55
M's Protein Crepe,"2 eggs, 1 banana, 1 tablespoon of cacao powder, 1 tablespoon of greek yogurt, 0.5 banana, 1 kiwi, 5 small strawberries",Error: Connection error. ,Error: Connection error. ,2025-04-30 13:50:22
M's Protein Crepe,"2 eggs, 1 banana, 1 tablespoon of cacao powder, 1 tablespoon of greek yogurt, 0.5 banana, 1 kiwi, 5 small strawberries","Whip up 'M's Protein Crepe' and indulge in nutrition sweetness!💪🍽️

For this yummy meal:
- Calories: Approx 320 (energy to power your day! 🚀)
- Fat: 10g (hello, good fats! 👋)
- Carbs: 45g (brain's best friend🧠 💕)
- Protein: 18g (muscles are screaming yass! 💪)
- Servings: 1 (all for you! 🌟)

Nutritious Tip: Swap cacao with unsweetened cocoa to lower the sugar! 🍫👀 

Enjoy, health mavens! 🎉",Breakfast,2025-04-30 13:50:55
M's Protein Tiramisu,"4 Blueberry-flavored crispbread(32 kcal per piece), 1 greek yogurt (11g of protein), 1 tablespoon of unsweetened cacao powder, 0.5 banana, 1 tablespoon of cinnamon","🎉📢 Let's dive into M's Protein Tiramisu!

🍽️ Servings: 1 shocking serving!
🔥 Calories: Roughly 250 (from my secret calorie-calculate-o-meter 🤪)

Macros:
🥑 Fat: About 3g (your taste buds won't feel the guilt 😉)
🍞 Carbs: Around 40g (carb the right way) 
💪 Protein: A whopping 12g (hello, muscle city 💪🌆)

🍏 Health Tip: Not only yummy but this treat is loaded with protein and healthy carbs to refuel your body after a workout! Your taste buds will be doing reps for more! 🏋️‍♀️🥳

Bon Appétit! 🎉 🎉 🎉",Breakfast,2025-04-30 13:53:35
M's Protein Sandwich ,"1 slice of healthy lavash with herbs, 2 cherry tomatoes, 1 teaspoon of pesto sauce, 2-3 pieces of Chechil Armenian cheese, 1 tablespoon of avocado, 2 eggs","Oh ho ho, M's Protein Sandwich coming right up! 😋

- Calories: 355 kcal 🏋️
- Fat: 20g 🥑
- Carbs: 20g 🍞
- Protein: 25g 🧀
- Servings: 1 delicious sandwich 🥪

💡 Health Tip: Say ""cheese"" for a protein-packed sandwich that will have you doing cartwheels all day! 🤸‍♀️",Breakfast,2025-04-30 13:55:48
